image_path,label,specimen,split
Dataset1/1001005_dataset1_D.jpg,1001,1001003,train
Dataset1/1001006_dataset1_L.jpg,1001,1001003,train
Dataset1/1001007_dataset1_D.jpg,1001,1001004,train
Dataset1/1001008_dataset1_L.jpg,1001,1001004,train
Dataset1/1001021_dataset1_D.jpg,1001,1001011,val
Dataset1/1001022_dataset1_L.jpg,1001,1001011,val
Dataset1/1001033_dataset1_L.jpg,1001,1001017,train
Dataset1/1001034_dataset1_D.jpg,1001,1001017,train
Dataset1/1001037_dataset1_L.jpg,1001,1001019,train
Dataset1/1001038_dataset1_D.jpg,1001,1001019,train
Dataset1/1001043_dataset1_L.jpg,1001,1001022,train
Dataset1/1001044_dataset1_D.jpg,1001,1001022,train
Dataset1/1001049_dataset1_D.jpg,1001,1001025,train
Dataset1/1001050_dataset1_L.jpg,1001,1001025,train
Dataset1/1001051_dataset1_D.jpg,1001,1001026,train
Dataset1/1001052_dataset1_L.jpg,1001,1001026,train
Dataset1/1001057_dataset1_D.jpg,1001,1001029,train
Dataset1/1001058_dataset1_L.jpg,1001,1001029,train
Dataset1/1001059_dataset1_D.jpg,1001,1001030,val
Dataset1/1001060_dataset1_L.jpg,1001,1001030,val
Dataset1/1001061_dataset1_D.jpg,1001,1001031,val
Dataset1/1001062_dataset1_L.jpg,1001,1001031,val
Dataset1/1001065_dataset1_L.jpg,1001,1001033,train
Dataset1/1001066_dataset1_D.jpg,1001,1001033,train
Dataset1/1001075_dataset1_D.jpg,1001,1001038,val
Dataset1/1001076_dataset1_L.jpg,1001,1001038,val
Dataset1/1001081_dataset1_D.jpg,1001,1001041,train
Dataset1/1001082_dataset1_L.jpg,1001,1001041,train
Dataset1/1001085_dataset1_D.jpg,1001,1001043,train
Dataset1/1001086_dataset1_L.jpg,1001,1001043,train
Dataset1/1001089_dataset1_D.jpg,1001,1001045,train
Dataset1/1001090_dataset1_L.jpg,1001,1001045,train
Dataset1/1001093_dataset1_D.jpg,1001,1001047,train
Dataset1/1001094_dataset1_L.jpg,1001,1001047,train
Dataset1/1001095_dataset1_D.jpg,1001,1001048,train
Dataset1/1001096_dataset1_L.jpg,1001,1001048,train
Dataset1/1001099_dataset1_D.jpg,1001,1001050,train
Dataset1/1001100_dataset1_L.jpg,1001,1001050,train
Dataset1/1001105_dataset1_D.jpg,1001,1001053,train
Dataset1/1001106_dataset1_L.jpg,1001,1001053,train
Dataset1/1001107_dataset1_D.jpg,1001,1001054,val
Dataset1/1001108_dataset1_L.jpg,1001,1001054,val
Dataset1/1001111_dataset1_D.jpg,1001,1001056,train
Dataset1/1001112_dataset1_L.jpg,1001,1001056,train
Dataset1/1001119_dataset1_L.jpg,1001,1001060,train
Dataset1/1001120_dataset1_D.jpg,1001,1001060,train
Dataset1/1001123_dataset1_L.jpg,1001,1001062,val
Dataset1/1001124_dataset1_D.jpg,1001,1001062,val
Dataset1/1001127_dataset1_L.jpg,1001,1001064,val
Dataset1/1001128_dataset1_D.jpg,1001,1001064,val
Dataset1/1001131_dataset1_L.jpg,1001,1001066,train
Dataset1/1001132_dataset1_D.jpg,1001,1001066,train
Dataset1/1001141_dataset1_D.jpg,1001,1001071,train
Dataset1/1001142_dataset1_L.jpg,1001,1001071,train
Dataset1/1001153_dataset1_D.jpg,1001,1001077,val
Dataset1/1001154_dataset1_L.jpg,1001,1001077,val
Dataset1/1001167_dataset1_D.jpg,1001,1001084,train
Dataset1/1001168_dataset1_L.jpg,1001,1001084,train
Dataset1/1001175_dataset1_D.jpg,1001,1001088,val
Dataset1/1001176_dataset1_L.jpg,1001,1001088,val
Dataset1/1001181_dataset1_D.jpg,1001,1001091,train
Dataset1/1001182_dataset1_L.jpg,1001,1001091,train
Dataset1/1001185_dataset1_D.jpg,1001,1001093,train
Dataset1/1001186_dataset1_L.jpg,1001,1001093,train
Dataset1/1001189_dataset1_D.jpg,1001,1001095,train
Dataset1/1001190_dataset1_L.jpg,1001,1001095,train
Dataset1/1001191_dataset1_D.jpg,1001,1001096,train
Dataset1/1001192_dataset1_L.jpg,1001,1001096,train
Dataset1/1001193_dataset1_L.jpg,1001,1001097,train
Dataset1/1001194_dataset1_D.jpg,1001,1001097,train
Dataset1/1001197_dataset1_L.jpg,1001,1001099,train
Dataset1/1001198_dataset1_D.jpg,1001,1001099,train
Dataset1/1001199_dataset1_L.jpg,1001,1001100,train
Dataset1/1001200_dataset1_D.jpg,1001,1001100,train
Dataset1/1001207_dataset1_L.jpg,1001,1001104,train
Dataset1/1001208_dataset1_D.jpg,1001,1001104,train
